meal_id,name,calories
44,"Fish, raw, sheepshead",108
58,"Fish, smoked, haddock",116
97,"Fish, raw, butterfish",146
154,"Fish, raw, sablefish",195
204,"Fish, raw, swordfish",144
209,"Fish, smoked, cisco",177
215,"Fish, raw, milkfish",148
216,"Fish, raw, monkfish",76
243,"Fish, raw, mahimahi",85
244,"Fish, raw, bluefish",124
256,"Fish oil, cod liver",902
260,"Fish, raw, tilefish",96
264,"Fish, raw, tilapia",96
273,"Fish, raw, haddock",74
293,"Fish oil, menhaden",902
313,"Fish, raw, lingcod",85
355,"Fish oil, sardine",902
356,"Fish oil, herring",902
369,"Fish, raw, burbot",90
410,"Fish, raw, cisco",98
422,"Fish oil, salmon",902
423,"Fish, tuna salad",187
447,"Fish, raw, scup",105
467,"Fish, raw, spot",123
476,"Fish, raw, carp",127
478,"Fish, raw, cusk",87
480,"Fish, raw, ling",87
585,"Fish, surimi",99
641,Fish broth,16
685,"Fish, raw, king, mackerel",105
688,"Fish, raw, striped, mullet",117
704,"Fish, raw, mixed species, roe",143
705,"Fish, smoked, chinook, salmon",117
732,"Fish, raw, wild, coho, salmon",146
744,"Fish, raw, mixed species, eel",184
749,"Fish, raw, Atlantic, mackerel",205
770,"Fish, raw, Atlantic, wolffish",96
780,"Fish, dry heat, cooked, ling",111
781,"Fish, dry heat, cooked, cusk",112
791,"Fish, raw, Atlantic, herring",158
795,"Fish, raw, spanish, mackerel",139
840,"Fish, dry heat, cooked, scup",135
841,"Fish, dry heat, cooked, spot",158
846,"Fish, dry heat, cooked, carp",162
847,"Fish, raw, european, anchovy",131
852,"Fish, raw, Atlantic, croaker",104
859,"Fish, raw, Atlantic, pollock",92
929,"Sauce, ready-to-serve, fish",35
930,"Fish, raw, european, turbot",95
956,"Fish, raw, freshwater, drum",119
963,"Fish, raw, Pacific, herring",195
969,"Fish, raw, florida, pompano",164
1010,"Fish, raw, chinook, salmon",179
1026,"Fish, raw, sockeye, salmon",131
1057,"Fish, raw, american, shad",197
1058,"Fish, raw, rainbow, smelt",97
1082,"Fish, raw, orange, roughy",76
1134,"Fish, raw, northern, pike",88
1151,"Fish, raw, Atlantic, cod",82
1178,"Fish, raw, white, sucker",92
1200,"McDONALD'S, FILET-O-FISH",282
1204,"Fish, raw, striped, bass",97
1206,"Jellyfish, salted, dried",36
1215,"Fish, raw, walleye, pike",93
1248,"Fish, raw, chum, salmon",120
1249,"Fish, smoked, sablefish",257
1264,"Fish, raw, pink, salmon",127
1307,"Fish, salted, mackerel",305
1314,"Fish, raw, ocean, pout",79
1393,"Fish, raw, mixed species, whitefish",134
1408,"Fish, raw, mixed species, sea bass",97
1409,"Fish, dry heat, cooked, sheepshead",126
1411,"Fish, raw, mixed species, seatrout",104
