meal_id,name,calories
8,"Cheese, camembert",300
24,"Cheese, low fat, cream",201
48,"Butter oil, anhydrous",876
64,"Danish pastry, cheese",374
74,"Ice creams, chocolate",216
81,"Cream, cultured, sour",198
84,"Cheese, port de salut",352
85,"SILK Original Creamer",100
86,"SILK Hazelnut Creamer",133
97,"Fish, raw, butterfish",146
99,"Ham and cheese spread",245
105,"Ice cream sundae cone",254
117,"Candies, butterscotch",391
124,"Cheese, Mexican blend",358
126,"SILK Vanilla, soymilk",41
129,"SILK Peach soy yogurt",94
130,"SILK Plain soy yogurt",66
138,"Sour cream, fat free",74
146,"Fruit butters, apple",173
158,"Butter, without salt",717
168,"SILK Coffee, soymilk",62
199,"Soybean, curd cheese",151
212,"Oil, ucuhuba butter",884
215,"Fish, raw, milkfish",148
229,"Sweet rolls, cheese",360
232,"SILK Mocha, soymilk",58
233,Milk and cereal bar,413
261,"Ice creams, vanilla",207
262,"SILK Plain, soymilk",41
269,"Ice cream sandwich",237
274,"Liver cheese, pork",304
278,"Oil, nutmeg butter",884
283,"Croissants, cheese",414
284,"Milk, fluid, sheep",108
298,"SILK Chai, soymilk",53
301,"Cheese, neufchatel",253
303,"Croissants, butter",406
319,"Coffeecake, cheese",339
359,"Butterbur, canned",3
361,"SILK Nog, soymilk",74
363,"Cheese, provolone",351
364,"Cheese, roquefort",369
375,"Oil, cocoa butter",884
388,"Sour cream, light",136
402,"Cheese, limburger",327
426,"Cheese, muenster",368
428,"Cheese, cheshire",387
436,"Headcheese, pork",157
446,"Cheese, monterey",373
448,"Cheese, cheddar",404
449,"Cheese, caraway",376
487,"Cheese, gruyere",413
488,"Cheese, gjetost",466
489,"Cheese, fontina",389
490,"Butter, salted",717
492,"Crackers, milk",446
510,"Cheese, romano",387
529,"Cheese, tilsit",340
533,"Cheese, brick",371
556,"Cheese, colby",394
557,"Cheese, cream",350
563,"Bread, cheese",408
566,"Cheese, swiss",393
567,"Cheese, gouda",356
569,"Cheese, blue",353
570,"Cheese, brie",334
590,"Cheese, edam",357
591,"Cheese, feta",264
627,Tofu yogurt,94
693,"Cheese, queso anejo, mexican",373
700,"Yogurt, nonfat, fruit variety",95
707,"Crackers, whole grain, cheese",412
716,"Cheese substitute, mozzarella",248
722,"Crackers, reduced fat, cheese",418
725,"Cheese, queso cotija, mexican",366
728,"SILK Light Chocolate, soymilk",49
731,"Cheese, queso seco, dry white",325
737,"Ice creams, fat free, vanilla",138
739,"Peanut butter, reduced sodium",590
751,"Sauce, ready-to-serve, cheese",174
775,"Ice creams, light, chocolate",187
797,"Crackers, low sodium, cheese",503
811,"Yogurt, lowfat, plain, Greek",73
813,"Cheese, low sodium, parmesan",451
822,"Cheese, reduced fat, cheddar",309
823,"Cream, light whipping, fluid",292
824,"Cream, heavy whipping, fluid",340
832,"Sauce, dry, cheese sauce mix",438
854,"Cream, lowfat, half and half",72
856,"Milk shakes, thick chocolate",119
879,"Yogurt, nonfat, plain, Greek",59
886,SILK Black Cherry soy yogurt,88
891,"Ice creams, rich, chocolate",251
915,"Milk, fluid, indian buffalo",97
925,"Cereals, dry, CREAM OF RICE",370
937,"Cheese, whole milk, ricotta",174
938,SILK French Vanilla Creamer,133
940,"Cheese, queso blanco, white",310
941,"Cheese, queso fresco, fresh",299
952,Ham and cheese loaf or roll,241
961,"Light ice cream, Creamsicle",165
962,"Toppings, marshmallow cream",322
973,"Cheese, semisoft type, goat",364
980,"Seeds, paste, sesame butter",586
987,"Cream, half and half, fluid",123
988,"SILK Light Vanilla, soymilk",33
993,"Butter, with salt, whipped",718
1011,"Milk, fluid, mature, human",70
1016,"Cheese, shredded, parmesan",415
1021,"Cheese, nonfat, mozzarella",141
1023,"Ice creams, light, vanilla",180
1025,"SILK Very Vanilla, soymilk",53
1036,"Milk shakes, thick vanilla",112
1049,"Cream substitute, powdered",529
1056,"SILK Strawberry soy yogurt",94
1060,"Cheese, low sodium, swiss",374
1062,"Ice cream cookie sandwich",240
1080,"Ice creams, rich, vanilla",249
1093,"Frozen yogurts, chocolate",127
1098,"Cheese, low fat, muenster",271
1101,"SILK Unsweetened, soymilk",33
