meal_id,name,calories
22,"Spices, ground, savory",272
57,"Peanut flour, low fat",428
108,"Peppers, dried, ancho",281
109,"Parsley, freeze-dried",271
110,"Spices, black, pepper",251
111,"Spices, white, pepper",296
142,"Spices, dried, thyme",276
149,"Spices, chili powder",282
150,"Spices, caraway seed",333
151,"Spices, dried, basil",233
153,"Chives, freeze-dried",311
156,"Spices, ground, mace",475
157,"Spices, onion powder",341
181,"Barley, raw, pearled",352
183,"Spices, curry powder",325
187,"Spices, ground, sage",315
194,"Celery flakes, dried",319
241,"Soy flour, defatted",327
245,"Spices, fennel seed",345
304,"Carrot, dehydrated",341
307,"Soy flour, low-fat",372
316,"Spices, poppy seed",525
372,"Wheat bran, crude",216
374,"Spices, dill seed",305
404,"Corn bran, crude",224
413,"Spearmint, dried",285
416,"Rice bran, crude",316
418,"Spices, bay leaf",313
419,"Spices, cardamom",311
458,"Rye flour, dark",325
462,"Spices, paprika",282
486,"Seeds, flaxseed",534
509,"Barley, hulled",354
542,Meat extender,311
561,"Oat bran, raw",246
568,Tomato powder,302
617,Carob flour,222
656,Rye grain,338
675,Papad,371
680,"Spices, dried, oregano",265
723,"Cookies, reduced fat, oatmeal",365
743,"Corn, steamed (Navajo), white",386
778,"Crackers, plain, wafers, rye",334
825,"Pinon Nuts, roasted (Navajo)",541
849,"PACE, Dry Taco Seasoning Mix",188
1104,"Lupins, raw, mature seeds",371
1108,"Crackers, rye, crispbread",366
1136,"Radishes, dried, oriental",271
1154,"Spices, ground, turmeric",312
1164,"Spices, ground, allspice",263
1170,"Fungi, dried, Cloud ears",284
1181,"Seeds, dried, chia seeds",486
1187,"Agave, dried (Southwest)",341
1209,"Spices, ground, cinnamon",247
1250,"Spices, dried, marjoram",271
1254,"Peppers, dried, pasilla",345
1284,"Spices, dried, rosemary",331
1319,"Spices, dried, parsley",292
1321,"Spices, ground, nutmeg",525
1342,"Peanut flour, defatted",327
1349,"Shallots, freeze-dried",348
1357,"Spices, coriander seed",298
1358,"Spices, ground, cloves",274
1359,"Spices, fenugreek seed",323
1364,"Beans, raw, mature seeds, pinto",347
1369,"Hyacinth beans, raw, mature seeds",344
1495,"Cereals ready-to-eat, KASHI GOLEAN",311
1607,"Peppers, freeze-dried, red, sweet",314
1668,"Beans, raw, mature seeds, yellow",345
1769,"Beans, raw, mature seeds, french",343
1783,"Beans, raw, mature seeds, white",333
1787,"Crackers, seasoned, wafers, rye",381
1830,"Beans, raw, mature seeds, black",341
1859,"Winged beans, raw, mature seeds",409
1897,"Mungo beans, raw, mature seeds",341
1917,"Cocoa, unsweetened, dry powder",228
1945,"Beans, raw, mature seeds, navy",337
1975,"Spices, red or cayenne, pepper",318
2011,"Mung beans, raw, mature seeds",347
2035,"Peppers, sun-dried, hot chile",324
2050,"Cereals ready-to-eat, UNCLE SAM CEREAL",346
2076,"Cereals ready-to-eat, KASHI GOOD FRIENDS",299
2091,"Beans, raw, mature seeds, great northern",339
2169,"Soybeans, salted, roasted, mature seeds",469
2264,"Beans, raw, mature seeds, black turtle",339
2269,"Cereals ready-to-eat, POST Bran Flakes",328
2292,"Snacks, air-popped (Unsalted), popcorn",382
2322,"Baking chocolate, squares, unsweetened",642
2362,"Peas, raw, mature seeds, split, green",352
2364,"Beans, raw, mature seeds, small white",336
2415,"Beans, raw, mature seeds, red, kidney",337
2451,"Baking chocolate, liquid, unsweetened",472
2517,"KASHI, Zesty Salsa, Pita Crisps, TLC",381
2546,"Lima beans, raw, mature seeds, large",338
2624,"Peppers, freeze-dried, green, sweet",314
2812,"Leavening agents, active dry, baker's, yeast",325
2829,"Gums, seed gums (includes locust bean, guar)",332
2939,"Beans, raw, mature seeds, royal red, kidney",329
2942,"Beans, raw, mature seeds, cranberry (roman)",335
3002,"Beans, raw, mature seeds, all types, kidney",333
3033,"Broadbeans (fava beans), raw, mature seeds",341
3071,"Cereals ready-to-eat, KASHI Honey Sunshine",332
