user_id,sex,age,weight,height,calorie_intake,activity,cluster
0,1,27,135,153,1900,2,4.0
1,0,19,204,161,2700,1,28.0
2,0,53,285,159,2300,2,17.0
3,0,42,162,161,1900,2,4.0
4,1,28,156,169,2900,0,9.0
5,1,43,269,174,1800,2,16.0
6,0,24,101,188,1500,2,23.0
7,0,45,109,174,2600,0,7.0
8,0,25,156,163,2500,0,21.0
9,0,56,275,184,2000,2,10.0
10,0,30,196,154,2600,2,14.0
11,0,52,205,199,2000,2,10.0
12,0,57,111,141,1600,0,1.0
13,1,46,100,179,2000,1,20.0
14,0,19,226,194,1900,0,16.0
15,0,43,211,164,2200,0,2.0
16,1,33,181,151,1600,1,1.0
17,1,42,120,171,3000,1,9.0
18,1,25,216,174,2700,1,28.0
19,0,34,250,177,1300,2,3.0
20,0,53,125,193,1300,2,3.0
21,0,23,248,159,2600,0,14.0
22,1,22,215,149,2200,2,2.0
23,0,25,136,155,1300,2,3.0
24,0,37,236,148,1400,0,26.0
25,1,21,234,175,2300,0,17.0
26,1,42,259,172,1600,0,25.0
27,1,22,204,143,2500,0,6.0
28,0,62,122,190,2700,1,13.0
29,1,54,113,183,1500,1,23.0
30,0,51,133,142,1800,1,22.0
31,0,51,102,162,1900,2,4.0
32,1,19,234,197,2700,1,28.0
33,0,21,179,162,1900,2,4.0
34,0,58,228,175,2900,0,19.0
35,1,25,110,146,2200,2,12.0
36,0,63,118,169,2900,0,9.0
37,1,53,298,145,3000,2,19.0
38,1,55,165,172,2000,0,20.0
39,0,49,130,183,2500,1,21.0
40,1,50,218,141,1700,1,11.0
41,0,26,249,169,1900,0,16.0
42,0,54,101,141,2100,0,15.0
43,1,33,194,166,2800,1,0.0
44,0,26,289,148,1800,0,16.0
45,1,28,238,172,1200,1,18.0
46,1,29,137,181,1600,1,1.0
47,0,37,119,199,1900,0,4.0
48,0,57,183,193,1900,0,4.0
49,0,34,217,169,2300,2,17.0
50,1,23,257,141,2800,1,0.0
51,1,32,151,159,2300,1,12.0
52,0,62,241,178,1900,0,16.0
53,0,48,245,184,1600,2,25.0
54,0,22,205,163,2100,2,27.0
55,1,58,224,177,1800,0,16.0
56,0,30,267,149,2000,2,10.0
57,0,43,271,161,1400,0,26.0
58,0,33,159,165,2000,2,20.0
59,0,51,235,142,2600,1,14.0
60,0,37,286,169,2900,1,19.0
61,1,49,293,176,1900,0,16.0
62,1,47,277,196,1700,0,25.0
63,0,46,265,172,2400,2,5.0
64,0,44,201,157,3000,1,19.0
65,0,41,199,177,2900,0,19.0
66,0,26,203,170,2300,0,17.0
67,0,38,119,191,2800,0,29.0
68,1,39,111,143,2800,1,29.0
69,1,29,128,152,1400,2,24.0
70,0,49,169,199,2600,1,7.0
71,0,57,113,151,2700,1,13.0
