meal_id,name,calories
0,Cornstarch,381
2,"Eggplant, raw",25
3,"Teff, uncooked",367
4,"Sherbet, orange",144
5,"Cauliflower, raw",25
6,"Taro leaves, raw",42
10,"PACE, Picante Sauce",25
11,"Goji berries, dried",349
12,"Mango nectar, canned",51
15,"Quail, raw, meat only",134
17,"Peppers, raw, jalapeno",29
18,"Winged bean tuber, raw",148
20,"Grapes, raw, muscadine",57
21,"Nuts, raw, ginkgo nuts",182
25,"PACE, Green Taco Sauce",25
26,"Syrup, Canadian, maple",270
27,"Ostrich, raw, top loin",119
28,"Chewing gum, sugarless",268
30,"Pasta, unenriched, dry",371
31,"McDONALD'S, Side Salad",20
33,"Broccoli, raw, chinese",30
35,"Agave, raw (Southwest)",68
36,"Emu, raw, outside drum",103
38,"Currants, dried, zante",283
39,"Lentils, raw, sprouted",106
40,"Gravy, mix, dry, onion",322
42,"Snacks, cakes, popcorn",384
44,"Fish, raw, sheepshead",108
45,"Babyfood, pear, juice",47
46,"Brussels sprouts, raw",43
47,"Broccoli raab, cooked",33
49,"Chicory, raw, witloof",17
52,"Broccoli, raw, leaves",28
54,"Tomatoes, raw, orange",16
55,"Tomatoes, raw, yellow",15
58,"Fish, smoked, haddock",116
63,"Bread, toasted, wheat",313
66,"Spices, garlic powder",331
69,"Fireweed, raw, leaves",103
72,"Emu, raw, flat fillet",102
73,"Emu, raw, inside drum",108
76,"USDA Commodity, salsa",36
77,"Figs, uncooked, dried",249
78,"Game meat, raw, horse",133
79,"Syrup, fruit flavored",261
80,"Broccoli, raw, stalks",28
82,"Gravy, canned, au jus",16
87,"Soup, mix, dry, onion",293
88,"Mushrooms, raw, enoki",37
93,"Hominy, white, canned",72
94,"Game meat, raw, moose",102
95,"Pears, red anjou, raw",62
96,"Horseradish, prepared",48
101,"Sauce, worcestershire",78
102,"Candies, marshmallows",318
104,Horned melon (Kiwano),44
106,"Peppers, raw, serrano",32
107,"Cabbage, cooked, napa",12
110,"Spices, black, pepper",251
111,"Spices, white, pepper",296
112,"Yambean (jicama), raw",38
114,"Kiwifruit, raw, green",61
115,"Drumstick leaves, raw",64
116,"Yautia (tannier), raw",98
117,"Candies, butterscotch",391
118,"Cucumber, raw, peeled",12
119,"Dandelion greens, raw",45
120,"Melons, raw, honeydew",36
122,"Mushrooms, raw, white",22
123,"Mushrooms, raw, morel",31
125,"Oranges, Florida, raw",46
126,"SILK Vanilla, soymilk",41
127,"Papaya nectar, canned",57
128,"Fiddlehead ferns, raw",34
129,SILK Peach soy yogurt,94
130,SILK Plain soy yogurt,66
131,"PACE, Enchilada Sauce",40
132,Yeast extract spread,185
133,"Tomatoes, raw, green",23
134,"Mollusks, raw, snail",90
135,"Emu, raw, fan fillet",103
136,"Pasta, enriched, dry",371
138,"Sour cream, fat free",74
143,"Carrot juice, canned",40
146,"Fruit butters, apple",173
151,"Spices, dried, basil",233
152,"Pickle relish, sweet",130
153,"Chives, freeze-dried",311
157,"Spices, onion powder",341
159,"Rice noodles, cooked",108
160,Barley flour or meal,345
161,"Sesbania flower, raw",27
166,"Cherries, raw, sweet",63
168,"SILK Coffee, soymilk",62
170,"Peaches, raw, yellow",39
174,"Pears, bartlett, raw",63
175,"Toppings, strawberry",254
176,"KEEBLER, Sugar Cones",375
177,"Seaweed, raw, wakame",45
178,"Seaweed, dried, agar",306
179,"Bread, cracked-wheat",260
180,"Amaranth leaves, raw",23
181,"Barley, raw, pearled",352
185,"Semolina, unenriched",360
186,"Grape leaves, canned",69
188,"PACE, Red Taco Sauce",50
191,"Ostrich, raw, oyster",125
193,"Pumpkin flowers, raw",15
194,"Celery flakes, dried",319
195,"Crackers, egg, matzo",391
196,"Loganberries, frozen",55
197,"Tangerine juice, raw",43
201,"Game meat, raw, deer",120
202,"Oranges, navels, raw",49
205,"Taro, raw, tahitian",44
206,"Chicory greens, raw",23
207,"Hearts of palm, raw",115
208,"Chayote, raw, fruit",19
211,"Candies, jellybeans",375
213,Soy protein isolate,335
214,"Syrups, light, corn",283
216,"Fish, raw, monkfish",76
218,"Tapioca, dry, pearl",358
219,"Guavas, raw, common",68
222,"Bread, toasted, rye",284
226,"Emu, raw, full rump",112
227,"Mustard greens, raw",27
228,"Seaweed, raw, laver",35
230,"Figs, stewed, dried",107
232,"SILK Mocha, soymilk",58
234,"Bread, pumpernickel",250
235,"Game meat, raw, elk",111
236,"PACE, Pico De Gallo",31
237,"Ostrich, raw, round",116
238,"HORMEL, Cure 81 Ham",106
239,"Prune juice, canned",71
241,"Soy flour, defatted",327
243,"Fish, raw, mahimahi",85
244,"Fish, raw, bluefish",124
246,"Potatoes, skin, raw",58
247,"Pepper, raw, banana",27
248,"Drumstick pods, raw",37
249,"Toppings, pineapple",253
250,Acorn stew (Apache),95
251,"Tomatoes, sun-dried",258
252,"Guava sauce, cooked",36
253,"Pumpkin leaves, raw",19
254,"Melons, raw, casaba",28
255,"Melon balls, frozen",33
258,"Rolls, pumpernickel",276
260,"Fish, raw, tilefish",96
262,"SILK Plain, soymilk",41
263,"Cabbage, raw, savoy",27
264,"Fish, raw, tilapia",96
265,"Broccoli raab, raw",22
266,"Corn grain, yellow",365
267,"Turtle, raw, green",89
268,"Chicory roots, raw",72
272,"Prickly pears, raw",41
273,"Fish, raw, haddock",74
276,Jams and preserves,278
277,"Carrots, raw, baby",35
279,"Semolina, enriched",360
281,"Snacks, corn cakes",387
282,"Catsup, low sodium",101
285,"Acerola juice, raw",23
286,"Jute, raw, potherb",34
288,"Bagels, multigrain",241
289,"Beef, dried, cured",153
291,"Seaweed, raw, kelp",43
292,"Seaweed, raw, agar",26
295,"Bread, white wheat",238
296,"Onions, raw, sweet",32
297,"Onions, raw, welsh",34
298,"SILK Chai, soymilk",53
299,"Rolls, rye, dinner",286
304,"Carrot, dehydrated",341
305,"Vinegar, distilled",18
306,"Sapote, raw, mamey",124
308,"Syrups, sugar free",52
309,"Syrups, dark, corn",286
312,"Bamboo shoots, raw",27
313,"Fish, raw, lingcod",85
314,"Whey, dried, sweet",353
315,"Whey, fluid, sweet",27
317,"Babyfood, pretzels",397
321,"Yardlong bean, raw",47
322,"Cress, raw, garden",32
323,"Dates, deglet noor",282
324,"Lambsquarters, raw",43
326,Vital wheat gluten,370
327,"Turnip greens, raw",32
328,"Sugars, granulated",387
330,"Pomegranates, raw",83
331,"Pears, raw, asian",42
336,"Chard, raw, swiss",19
337,"Goose, raw, liver",133
341,"Rice flour, brown",363
342,"Peppermint, fresh",70
343,"Vinegar, red wine",19
344,"Vinegar, balsamic",88
345,"Luxury loaf, pork",141
346,"Rye flour, medium",349
348,"Bread, wheat bran",248
350,"Candies, Tamarind",368
351,"Oheloberries, raw",28
352,"PACE, Salsa Verde",47
353,Barley malt flour,361
354,"Rice noodles, dry",364
357,"Plantains, cooked",116
358,"Burdock root, raw",72
359,"Butterbur, canned",3
360,"Ostrich, raw, fan",117
361,"SILK Nog, soymilk",74
366,"Syrups, grenadine",268
367,"Raisins, seedless",299
368,"Strawberries, raw",32
369,"Fish, raw, burbot",90
371,"Wheat, hard white",342
372,"Wheat bran, crude",216
373,"Gooseberries, raw",44
377,"Grape leaves, raw",93
378,"Kale, raw, scotch",42
379,"Marmalade, orange",246
380,"Whey, dried, acid",339
381,"Whey, fluid, acid",24
382,"Eggplant, pickled",49
384,"Fennel, raw, bulb",31
389,"Egg, dried, white",382
390,"Wild rice, cooked",101
392,"Corn grain, white",365
394,"Wheat, soft white",340
395,"Elderberries, raw",73
397,"Orange juice, raw",45
399,"Cabbage, raw, red",31
400,"Blackberries, raw",43
