meal_id,name,calories
1,"Nuts, pecans",691
2,"Eggplant, raw",25
6,"Taro leaves, raw",42
17,"Peppers, raw, jalapeno",29
20,"Grapes, raw, muscadine",57
25,"PACE, Green Taco Sauce",25
29,"Nuts, dried, pine nuts",673
48,"Butter oil, anhydrous",876
49,"Chicory, raw, witloof",17
53,"Durian, raw or frozen",147
57,"Peanut flour, low fat",428
67,"Oil, soybean lecithin",763
79,"Syrup, fruit flavored",261
88,"Mushrooms, raw, enoki",37
95,"Pears, red anjou, raw",62
104,Horned melon (Kiwano),44
112,"Yambean (jicama), raw",38
113,"Nuts, dried, pilinuts",719
114,"Kiwifruit, raw, green",61
118,"Cucumber, raw, peeled",12
125,"Oranges, Florida, raw",46
128,"Fiddlehead ferns, raw",34
160,Barley flour or meal,345
166,"Cherries, raw, sweet",63
170,"Peaches, raw, yellow",39
174,"Pears, bartlett, raw",63
185,"Semolina, unenriched",360
192,"Oil, corn and canola",884
196,"Loganberries, frozen",55
197,"Tangerine juice, raw",43
200,"Game meat, raw, bear",161
202,"Oranges, navels, raw",49
208,"Chayote, raw, fruit",19
212,"Oil, ucuhuba butter",884
218,"Tapioca, dry, pearl",358
219,"Guavas, raw, common",68
223,"Oil, apricot kernel",884
230,"Figs, stewed, dried",107
239,"Prune juice, canned",71
252,"Guava sauce, cooked",36
256,"Fish oil, cod liver",902
257,"Nuts, dried, acorns",509
278,"Oil, nutmeg butter",884
279,"Semolina, enriched",360
285,"Acerola juice, raw",23
293,"Fish oil, menhaden",902
305,"Vinegar, distilled",18
312,"Bamboo shoots, raw",27
318,"Fat, mutton tallow",902
321,"Yardlong bean, raw",47
323,"Dates, deglet noor",282
328,"Sugars, granulated",387
330,"Pomegranates, raw",83
331,"Pears, raw, asian",42
346,"Rye flour, medium",349
351,"Oheloberries, raw",28
355,"Fish oil, sardine",902
356,"Fish oil, herring",902
359,"Butterbur, canned",3
368,"Strawberries, raw",32
371,"Wheat, hard white",342
372,"Wheat bran, crude",216
373,"Gooseberries, raw",44
375,"Oil, cocoa butter",884
390,"Wild rice, cooked",101
394,"Wheat, soft white",340
396,"Nuts, raw, acorns",387
397,"Orange juice, raw",45
400,"Blackberries, raw",43
403,"Raspberries, raw",52
406,"Taro shoots, raw",11
407,"Sugars, powdered",389
417,"Rye flour, light",357
420,"Lemon juice, raw",22
422,"Fish oil, salmon",902
424,"Orange peel, raw",97
425,"Blueberries, raw",57
430,"Fat, beef tallow",902
431,"Clementines, raw",47
433,"Oat bran, cooked",40
434,"Pears, bosc, raw",67
435,"Sugar, turbinado",399
440,"Cranberries, raw",46
445,"Rose-apples, raw",25
450,"Oil, wheat germ",884
452,"Watermelon, raw",30
458,"Rye flour, dark",325
459,"Oil, tomatoseed",884
463,"Nectarines, raw",44
468,"Crabapples, raw",76
469,"Breadfruit, raw",103
470,Arrowroot flour,357
472,"Tomatillos, raw",32
483,"Lime juice, raw",25
491,"Oil, rice bran",884
493,"Dates, medjool",277
501,"Oil, poppyseed",884
502,"Oil, grapeseed",884
504,"Pectin, liquid",11
507,"Plantains, raw",122
516,"Millet, cooked",119
522,"Jackfruit, raw",95
523,"Litchis, dried",277
525,"Cornsalad, raw",21
527,"Oil, cupu assu",884
530,"Asparagus, raw",20
531,"Apricots, raw",48
538,"Nuts, almonds",579
544,Sorghum grain,329
545,"Oil, hazelnut",884
561,"Oat bran, raw",246
573,"Basil, fresh",23
574,"Rhubarb, raw",21
577,"Oil, teaseed",884
578,"Oil, sheanut",884
579,"Oil, babassu",884
580,"Longans, raw",60
581,"Loquats, raw",47
583,"Pumpkin, raw",26
592,"Pummelo, raw",38
593,"Quinces, raw",57
597,"Oil, coconut",892
598,"Wheat, durum",339
600,Millet flour,382
603,"Litchis, raw",66
606,"Oil, mustard",884
607,"Oil, avocado",884
610,"Fat, chicken",900
613,"Bananas, raw",89
615,Fruit syrup,341
616,"Chives, raw",30
620,Chewing gum,360
621,"Fat, turkey",900
624,"Mangos, raw",60
631,"Feijoa, raw",61
634,"Oil, almond",884
635,"Oil, walnut",884
636,"Jujube, raw",79
637,"Oil, canola",884
639,"Onions, raw",40
642,"Fat, goose",900
645,"Limes, raw",30
647,"Pears, raw",57
648,"Plums, raw",46
649,"Rowal, raw",111
652,Buckwheat,343
653,"Oil, palm",884
654,"Fat, duck",882
656,Rye grain,338
657,"Dock, raw",22
661,"Figs, raw",74
666,"Oil, oat",884
672,Honey,304
676,Lard,902
677,Oats,389
683,"Wheat flour, whole-grain",340
691,"Oil, cold pressed, flaxseed",884
692,"Triticale flour, whole-grain",338
699,"Rice flour, unenriched, white",366
740,"Oil, salad or cooking, peanut",884
743,"Corn, steamed (Navajo), white",386
758,"Blueberries, sweetened, dried",317
768,"Currants, raw, european black",63
769,"Pineapple, all varieties, raw",50
779,"Apples, with skin, gala, raw",57
788,"Oil, salad or cooking, olive",884
799,Orange Pineapple Juice Blend,51
800,"Beverages, hard cider, AMBER",56
801,"Babyfood, apple-banana juice",51
810,"Cockles, raw (Alaska Native)",79
812,"Apples, with skin, fuji, raw",63
833,"Cranberry juice, unsweetened",46
844,"Oil, and olive, peanut, corn",884
857,"Grapefruit juice, raw, white",39
863,"Crackers, whole-wheat, matzo",351
875,"Squash, raw, scallop, summer",18
876,"Currants, raw, red and white",56
888,"Beverages, well, tap, water",0
892,"Oil, walrus (Alaska Native)",900
893,"Grapefruit juice, raw, pink",39
905,"Soybeans, raw, mature seeds",446
911,"Syrups, high-fructose, corn",281
916,"Nuts, dried, black, walnuts",619
928,"Nuts, full fat, acorn flour",501
935,"Gravy, mushroom, CAMPBELL'S",34
943,"Apricots, sweetened, frozen",98
946,"Squash, raw, baby, zucchini",21
965,"Nuts, hazelnuts or filberts",628
968,"Peppers, raw, yellow, sweet",27
982,"Persimmons, dried, japanese",274
984,"Carambola, raw, (starfruit)",31
999,"Squash, raw, acorn, winter",40
1001,"Peppers, raw, green, sweet",20
1005,"Nance, unsweetened, frozen",73
1009,"Vegetable oil, palm kernel",862
1019,"Game meat, raw, wild, boar",122
1035,"Sorghum flour, whole-grain",359
1046,"Pasta, cooked, whole-wheat",149
1050,"Carissa, raw, (natal-plum)",62
1063,"Apples, without skin, raw",48
1074,"Rhubarb, uncooked, frozen",21
1083,"Lemons, without peel, raw",29
1084,"Nuts, raw, pistachio nuts",560
1092,"Vermicelli, made from soy",331
1103,"Blueberries, frozen, wild",57
1111,"Gravy, au jus, CAMPBELL'S",8
1117,"Cornmeal, yellow (Navajo)",384
1135,"Jerusalem-artichokes, raw",73
1138,"Persimmons, raw, japanese",70
1163,"Nuts, dried, hickorynuts",657
1179,"Peppers, raw, red, sweet",31
1202,"Peas, raw, edible-podded",42
1207,"Amaranth grain, uncooked",371
1208,"Cornmeal, white (Navajo)",398
1219,"Cucumber, raw, with peel",15
1225,"Cherries, raw, red, sour",50
1228,"Blackberry juice, canned",38
1229,"Okra, unprepared, frozen",30
1239,"Plantains, fried, green",309
1240,"Water, generic, bottled",0
1242,"Milk, fluid, low sodium",61
1253,"Peppers, raw, hungarian",29
1265,Octopus (Alaska Native),56
1270,"Nuts, dried, butternuts",612
1272,"Pears, green anjou, raw",66
1275,"Soy meal, raw, defatted",337
1278,"Barley, cooked, pearled",123
1283,"Babyfood, orange, juice",45
1291,"Mushrooms, raw, maitake",31
1296,"Persimmons, raw, native",127
1299,"Oranges, with peel, raw",63
1300,"Seeds, raw, lotus seeds",89
1305,"Sweetener, agave, syrup",310
1309,"Apples, with skin, raw",52
1318,"Nuts, english, walnuts",654
1338,"Avocados, Florida, raw",120
1341,"Peanuts, raw, valencia",570
1345,"Crackers, plain, matzo",395
1353,"Wheat, hard red spring",329
1354,"Wheat, soft red winter",331
1355,"Wheat, hard red winter",327
1371,"Cloudberries, raw (Alaska Native)",51
1373,"Nuts, roasted, european, chestnuts",245
1374,"Cherries, sweetened, frozen, sweet",89
1377,"Cowpeas, raw, young pods with seeds",44
1379,"Babyfood, junior, applesauce, fruit",37
1383,"Whale, eyes (Alaska Native), beluga",291
1387,"Nuts, unblanched, dried, brazilnuts",659
1388,"Walrus, dried (Alaska Native), meat",251
1389,"Seal, liver (Alaska Native), ringed",116
1397,"Oranges, valencias, California, raw",49
1399,"Beans, no salt added, canned, baked",105
1407,"Tea, Hohoysi (Hopi), brewed, herbal",2
1417,"Walrus, raw (Alaska Native), liver",125
1420,"Baking chocolate, squares, mexican",426
1422,"WENDY'S, with cheese, Double Stack",285
1427,"Grapefruit, California, white, raw",37
1433,"Sorghum flour, unenriched, refined",357
1460,"Boysenberries, heavy syrup, canned",88
1461,"Boysenberries, unsweetened, frozen",50
1480,"Squash, raw, all varieties, summer",16
1481,"Squash, raw, all varieties, winter",34
1486,"Babyfood, orange and banana, juice",50
1487,"Candies, AFTER EIGHT Mints, NESTLE",432
1488,"Beverages, PERRIER, bottled, water",0
1492,"Gourd, raw, dishcloth (towelgourd)",20
1493,"Babyfood, strained, peaches, fruit",65
1496,"Tangerine juice, sweetened, canned",50
1497,"Wheat flour, enriched, cake, white",362
1498,"Oil, whale (Alaska Native), beluga",900
1503,"Lemonade, pink, frozen concentrate",192
1507,"Sea cucumber, yane (Alaska Native)",56
1526,"Taro shoots, without salt, cooked",14
1533,"Walrus, raw (Alaska Native), meat",199
1537,"Grapefruit, all areas, white, raw",33
1539,"Babyfood, apple and cherry, juice",41
1540,"Nuts, roasted, chinese, chestnuts",239
1549,"Rice, cooked, medium-grain, brown",112
1550,"McDONALD'S, Peanuts (for Sundaes)",640
1562,"Bear, meat (Alaska Native), black",155
1570,"Caribou, raw (Alaska Native), eye",326
1598,"Mouse nuts, roots (Alaska Native)",81
1601,"Buckwheat groats, cooked, roasted",92
