meal_id,name,calories
0,Cornstarch,381
1,"Nuts, pecans",691
2,"Eggplant, raw",25
3,"Teff, uncooked",367
4,"Sherbet, orange",144
5,"Cauliflower, raw",25
6,"Taro leaves, raw",42
9,Vegetarian fillets,290
10,"PACE, Picante Sauce",25
11,"Goji berries, dried",349
12,"Mango nectar, canned",51
13,"Crackers, rusk toast",407
16,"Pie, lemon, fried pies",316
17,"Peppers, raw, jalapeno",29
18,"Winged bean tuber, raw",148
20,"Grapes, raw, muscadine",57
21,"Nuts, raw, ginkgo nuts",182
22,"Spices, ground, savory",272
23,"Candies, sesame crunch",516
25,"PACE, Green Taco Sauce",25
26,"Syrup, Canadian, maple",270
28,"Chewing gum, sugarless",268
29,"Nuts, dried, pine nuts",673
30,"Pasta, unenriched, dry",371
31,"McDONALD'S, Side Salad",20
32,"Cookies, Marie biscuit",406
33,"Broccoli, raw, chinese",30
34,"McDONALD'S, Hash Brown",271
35,"Agave, raw (Southwest)",68
36,"Emu, raw, outside drum",103
37,"Nuts, dried, beechnuts",576
38,"Currants, dried, zante",283
39,"Lentils, raw, sprouted",106
40,"Gravy, mix, dry, onion",322
41,"Pie, fruit, fried pies",316
42,"Snacks, cakes, popcorn",384
43,"Snack, Mixed Berry Bar",383
45,"Babyfood, pear, juice",47
46,"Brussels sprouts, raw",43
47,"Broccoli raab, cooked",33
49,"Chicory, raw, witloof",17
50,"KEEBLER, Waffle Cones",424
51,"KEEBLER, Waffle Bowls",424
52,"Broccoli, raw, leaves",28
53,"Durian, raw or frozen",147
54,"Tomatoes, raw, orange",16
55,"Tomatoes, raw, yellow",15
56,"Egg custards, dry mix",410
57,"Peanut flour, low fat",428
59,"DENNY'S, french fries",282
61,"MURRAY, Vanilla Wafer",461
62,"WENDY'S, french fries",301
63,"Bread, toasted, wheat",313
65,"Nuts, glazed, walnuts",500
66,"Spices, garlic powder",331
67,"Oil, soybean lecithin",763
68,"Egg, fresh, raw, yolk",322
69,"Fireweed, raw, leaves",103
71,"Frankfurter, meatless",233
72,"Emu, raw, flat fillet",102
73,"Emu, raw, inside drum",108
75,"Snacks, potato sticks",522
76,"USDA Commodity, salsa",36
77,"Figs, uncooked, dried",249
79,"Syrup, fruit flavored",261
80,"Broccoli, raw, stalks",28
82,"Gravy, canned, au jus",16
87,"Soup, mix, dry, onion",293
88,"Mushrooms, raw, enoki",37
91,"Crackers, whole-wheat",427
92,"Peanuts, raw, spanish",570
93,"Hominy, white, canned",72
94,"Game meat, raw, moose",102
95,"Pears, red anjou, raw",62
100,"TACO BELL, Taco Salad",170
101,"Sauce, worcestershire",78
102,"Candies, marshmallows",318
103,"Hummus, home prepared",177
104,Horned melon (Kiwano),44
106,"Peppers, raw, serrano",32
107,"Cabbage, cooked, napa",12
108,"Peppers, dried, ancho",281
109,"Parsley, freeze-dried",271
110,"Spices, black, pepper",251
111,"Spices, white, pepper",296
112,"Yambean (jicama), raw",38
113,"Nuts, dried, pilinuts",719
114,"Kiwifruit, raw, green",61
115,"Drumstick leaves, raw",64
116,"Yautia (tannier), raw",98
119,"Dandelion greens, raw",45
120,"Melons, raw, honeydew",36
121,Potato salad with egg,157
122,"Mushrooms, raw, white",22
123,"Mushrooms, raw, morel",31
125,"Oranges, Florida, raw",46
127,"Papaya nectar, canned",57
128,"Fiddlehead ferns, raw",34
131,"PACE, Enchilada Sauce",40
132,Yeast extract spread,185
133,"Tomatoes, raw, green",23
134,"Mollusks, raw, snail",90
135,"Emu, raw, fan fillet",103
136,"Pasta, enriched, dry",371
137,"Cookies, gingersnaps",416
142,"Spices, dried, thyme",276
143,"Carrot juice, canned",40
144,"Corn, dried (Navajo)",386
145,"Pate, truffle flavor",327
147,"Fast foods, coleslaw",153
149,"Spices, chili powder",282
150,"Spices, caraway seed",333
151,"Spices, dried, basil",233
152,"Pickle relish, sweet",130
153,"Chives, freeze-dried",311
155,"Crackers, multigrain",482
156,"Spices, ground, mace",475
157,"Spices, onion powder",341
159,"Rice noodles, cooked",108
160,Barley flour or meal,345
161,"Sesbania flower, raw",27
162,"Garlic bread, frozen",350
164,"APPLEBEE'S, coleslaw",120
165,"Rolls, sweet, dinner",321
166,"Cherries, raw, sweet",63
169,"Snacks, banana chips",519
170,"Peaches, raw, yellow",39
171,"Rolls, wheat, dinner",273
172,"Candies, HEATH BITES",530
174,"Pears, bartlett, raw",63
175,"Toppings, strawberry",254
176,"KEEBLER, Sugar Cones",375
179,"Bread, cracked-wheat",260
180,"Amaranth leaves, raw",23
181,"Barley, raw, pearled",352
183,"Spices, curry powder",325
185,"Semolina, unenriched",360
186,"Grape leaves, canned",69
187,"Spices, ground, sage",315
188,"PACE, Red Taco Sauce",50
