user_id,meal_id,ratings,meal_type
10,623,10,breakfast
44,623,7,breakfast
69,623,4,breakfast
72,623,5,breakfast
113,623,7,breakfast
120,623,7,breakfast
172,623,10,breakfast
198,623,5,breakfast
205,623,6,breakfast
217,623,10,breakfast
247,623,4,breakfast
255,623,6,breakfast
256,623,6,breakfast
329,623,4,breakfast
333,623,7,breakfast
355,623,4,breakfast
371,623,10,breakfast
376,623,8,breakfast
377,623,10,breakfast
430,623,10,breakfast
432,623,8,breakfast
452,623,9,breakfast
467,623,10,breakfast
471,623,9,breakfast
478,623,8,breakfast
487,623,6,breakfast
510,623,9,breakfast
541,623,4,breakfast
565,623,6,breakfast
585,623,9,breakfast
593,623,9,breakfast
605,623,4,breakfast
606,623,9,breakfast
615,623,8,breakfast
622,623,9,breakfast
650,623,8,breakfast
680,623,5,breakfast
689,623,9,breakfast
720,623,10,breakfast
733,623,7,breakfast
747,623,6,breakfast
756,623,6,breakfast
764,623,7,breakfast
765,623,7,breakfast
790,623,9,breakfast
795,623,8,breakfast
810,623,5,breakfast
818,623,9,breakfast
841,623,9,breakfast
848,623,8,breakfast
889,623,10,breakfast
892,623,6,breakfast
922,623,9,breakfast
935,623,9,breakfast
1000,623,4,breakfast
1015,623,4,breakfast
1018,623,6,breakfast
1023,623,8,breakfast
1029,623,5,breakfast
1032,623,9,breakfast
1033,623,8,breakfast
1036,623,10,breakfast
1047,623,9,breakfast
1053,623,7,breakfast
1058,623,5,breakfast
1060,623,7,breakfast
1062,623,6,breakfast
1068,623,6,breakfast
1090,623,7,breakfast
1103,623,8,breakfast
1124,623,8,breakfast
1125,623,10,breakfast
1138,623,9,breakfast
1150,623,6,breakfast
1154,623,8,breakfast
1177,623,9,breakfast
1189,623,9,breakfast
1203,623,7,breakfast
1206,623,6,breakfast
1211,623,8,breakfast
1215,623,9,breakfast
1231,623,5,breakfast
1262,623,9,breakfast
1267,623,9,breakfast
1268,623,9,breakfast
1274,623,5,breakfast
1285,623,9,breakfast
1292,623,10,breakfast
1314,623,4,breakfast
1330,623,7,breakfast
1336,623,4,breakfast
1384,623,4,breakfast
1393,623,10,breakfast
1455,623,5,breakfast
1463,623,6,breakfast
1486,623,10,breakfast
1495,623,9,breakfast
1512,623,8,breakfast
1515,623,6,breakfast
1517,623,6,breakfast
1522,623,5,breakfast
1534,623,6,breakfast
1555,623,10,breakfast
1557,623,10,breakfast
1560,623,4,breakfast
1572,623,9,breakfast
1575,623,4,breakfast
1594,623,4,breakfast
1639,623,6,breakfast
1661,623,5,breakfast
1668,623,4,breakfast
1688,623,7,breakfast
1704,623,6,breakfast
1710,623,4,breakfast
1746,623,7,breakfast
1749,623,8,breakfast
1750,623,5,breakfast
1758,623,6,breakfast
1759,623,7,breakfast
1778,623,5,breakfast
1789,623,5,breakfast
1790,623,8,breakfast
1796,623,4,breakfast
1811,623,4,breakfast
1813,623,5,breakfast
1820,623,7,breakfast
1827,623,8,breakfast
1890,623,6,breakfast
1900,623,6,breakfast
1908,623,9,breakfast
1909,623,8,breakfast
1920,623,8,breakfast
1933,623,9,breakfast
