meal_id,name,meal_type,vegan,lac_vegan,ovo_vegan,ovo_lac_vegan,pescetarian
0,Grilled Portobello and Peach Sandwich,breakfast,1,1,1,1,1
1,Italian-Style Tuna Sandwich,breakfast,0,0,0,0,0
2,Italian Veggie Meatball Sandwiches,breakfast,0,0,0,1,0
3,Italian Veggie Meatball Sandwiches,lunch,0,0,0,1,0
4,Italian Veggie Meatball Sandwiches,dinner,0,0,0,1,0
5,Kale Chips,breakfast,1,1,1,1,1
6,Blueberry-Almond Coffeecake,breakfast,0,0,0,1,0
7,"Focaccia Tonno, gefuu0308llt",breakfast,1,1,1,1,1
8,"Focaccia Tonno, gefuu0308llt",lunch,1,1,1,1,1
9,"Focaccia Tonno, gefuu0308llt",snack,1,1,1,1,1
10,"Focaccia Tonno, gefuu0308llt",dinner,1,1,1,1,1
11,Sage Egg-White Frittata,breakfast,0,0,1,1,0
12,Peanuts with Indian Spices,breakfast,0,0,1,1,0
13,Hot Brown Sandwich,breakfast,0,0,0,1,0
14,Cinnamon Biscuits,breakfast,0,0,0,1,0
15,Cinnamon Biscuits,snack,0,0,0,1,0
16,Lobster Rolls,breakfast,0,0,0,1,0
17,Turkey Burger,breakfast,0,0,0,1,0
18,Turkey Burger,lunch,0,0,0,1,0
19,Turkey Burger,dinner,0,0,0,1,0
20,Pigs in a Blanket,breakfast,0,0,0,0,0
21,Sloppy Joes,breakfast,0,0,0,0,0
22,Sloppy Joes,lunch,0,0,0,0,0
23,Sloppy Joes,dinner,0,0,0,0,0
24,English Muffin French Toast,breakfast,0,0,0,1,0
25,Goat Cheese Torta,breakfast,0,1,0,1,0
26,Pit Beef Sandwiches,breakfast,0,0,0,1,0
27,Pit Beef Sandwiches,lunch,0,0,0,1,0
28,Pit Beef Sandwiches,dinner,0,0,0,1,0
29,Chicken Saltimbocca,breakfast,0,0,0,1,0
30,Chicken Saltimbocca,lunch,0,0,0,1,0
31,Chicken Saltimbocca,dinner,0,0,0,1,0
32,Curried Chicken Salad,breakfast,0,0,0,0,0
33,Curried Chicken Salad,lunch,0,0,0,0,0
34,Winter Fruit Compote,breakfast,0,0,0,0,0
35,Winter Fruit Compote,dinner,0,0,0,0,0
36,Granola,breakfast,0,0,0,0,1
37,Quince Calvados Cru00eape Souffles,breakfast,0,0,0,1,0
38,Quince Calvados Cru00eape Souffles,snack,0,0,0,1,0
39,TUNA FISH SALAD,breakfast,1,1,1,1,1
40,TUNA FISH SALAD,lunch,1,1,1,1,1
